Slug,Ingredient Name,Also Called,Functions,Description,Jenis Kulit Cocok
propylene-glycol,Propylene Glycol,,"moisturizer/humectant, solvent","Propylene Glycol adalah cairan sintetis yang tidak berwarna, tidak berbau, dan sedikit kental yang berfungsi sebagai pelembap (humektan) dan pelarut dalam produk perawatan kulit. Bahan ini bekerja dengan menarik air ke lapisan luar kulit untuk menjaga hidrasi serta membantu melarutkan bahan aktif lainnya agar formula produk tetap stabil dan merata. Selain kemampuannya dalam meningkatkan penyerapan bahan lain ke dalam kulit, Propylene Glycol juga sering digunakan sebagai agen pengkondisi kulit yang memberikan tekstur lembut dan halus tanpa rasa lengket yang berlebihan. Berkat profil keamanannya yang tinggi, bahan ini banyak ditemukan dalam berbagai jenis kosmetik, mulai dari pelembap, pembersih wajah, hingga produk perawatan rambut.",Normal
propylene-glycol-dicaprylate-dicaprate,Propylene Glycol Dicaprylate/​Dicaprate,,emollient,"Propylene Glycol Dicaprylate/Dicaprate adalah campuran diester dari propilen glikol dengan asam lemak kaprilat dan kapriat yang berfungsi utama sebagai emolien dan agen pengkondisi kulit. Bahan ini dikenal karena kemampuannya memberikan tekstur yang ringan, halus, dan sensasi beludru (velvety) pada kulit tanpa meninggalkan rasa lengket atau berminyak. Dalam formula kosmetik, ia bekerja efektif sebagai pelarut dan agen penyebar untuk pigmen serta filter tabir surya, menjadikannya bahan populer dalam pelembap ringan, produk makeup, dan tabir surya. Selain menjaga kelembapan dengan membentuk lapisan pelindung di permukaan kulit, bahan ini juga dapat membantu meningkatkan penyerapan bahan aktif lain ke dalam lapisan kulit.",Normal
propylheptyl-caprylate,Propylheptyl Caprylate,,emollient,"Propylheptyl Caprylate adalah cairan berminyak bening yang berfungsi utama sebagai emolien (pelembap) dengan kemampuan menyebar yang cepat. Bahan ini memberikan sensasi lembut, halus, dan mewah pada kulit tanpa meninggalkan rasa lengket yang berlebihan, sehingga sering digunakan sebagai alternatif alami untuk silikon sintetis. Selain melembapkan, bahan ini berperan sebagai pelarut yang sangat efektif untuk filter UV mineral dalam produk tabir surya, penstabil emulsi, dan agen pendispersi pigmen dalam produk riasan seperti foundation. Karena teksturnya yang ringan dan sifatnya yang non-komedogenik, Propylheptyl Caprylate ideal digunakan dalam berbagai produk perawatan wajah, tubuh, hingga perawatan rambut untuk meningkatkan hidrasi serta daya serap bahan aktif lainnya.",Normal
propylparaben,Propylparaben,,"preservative, perfuming","Propylparaben adalah bahan pengawet dari golongan paraben yang berfungsi untuk menghambat pertumbuhan jamur, bakteri, dan ragi guna memperpanjang masa simpan produk kosmetik serta perawatan pribadi. Bahan ini berbentuk kristal putih yang tidak berbau dan sangat efektif digunakan dalam formula berbasis air seperti krim, losion, sampo, dan produk riasan. Selain kemampuannya dalam menjaga stabilitas formula pada berbagai rentang pH, Propylparaben sering dikombinasikan dengan pengawet lain untuk memberikan perlindungan antimikroba yang lebih luas dan memastikan keamanan produk selama penggunaan.",Normal
prunus-amygdalus-dulcis-oil,Prunus Amygdalus Dulcis Oil,Sweet Almond Oil,emollient,"Prunus Amygdalus Dulcis Oil, atau yang lebih dikenal sebagai Sweet Almond Oil (Minyak Almond Manis), adalah minyak nabati ringan yang diekstrak dari biji pohon almond. Berfungsi utama sebagai emolien, minyak ini kaya akan asam lemak esensial, vitamin A, E, dan B, serta mineral yang bekerja secara mendalam untuk menutrisi, menghaluskan, dan menjaga kelembapan kulit. Karena sifatnya yang hipoalergenik dan mudah meresap, bahan ini sangat efektif untuk menenangkan kulit kering atau iritasi, memperbaiki tekstur kulit, serta memperkuat lapisan pelindung alami kulit (skin barrier) tanpa meninggalkan rasa lengket yang berlebihan. Selain itu, kandungan antioksidannya membantu melindungi kulit dari kerusakan akibat radikal bebas dan paparan sinar UV, menjadikannya bahan populer dalam produk perawatan bayi, pembersih wajah, hingga minyak pijat.",Normal
prunus-armeniaca-kernel-oil,Prunus Armeniaca Kernel Oil,Apricot Kernel Oil,emollient,"Prunus Armeniaca Kernel Oil, atau minyak biji aprikot, adalah minyak nabati ringan yang kaya akan asam lemak esensial seperti asam oleat dan linoleat serta vitamin A dan E. Bahan ini berfungsi sebagai emolien efektif yang mudah menyerap ke dalam kulit untuk memberikan hidrasi mendalam, memperkuat barrier kulit, dan melembutkan tekstur tanpa meninggalkan rasa lengket. Karena sifatnya yang menenangkan dan kandungan antioksidannya, minyak ini sangat ideal untuk merawat kulit kering, sensitif, maupun matang, serta sering digunakan untuk menambah kilau pada rambut.",Normal
prunus-domestica-seed-extract,Prunus Domestica Seed Extract,"Plum Oil, Virgin Prunus Oil","antioxidant, emollient","Prunus Domestica Seed Extract, yang lebih dikenal sebagai Plum Oil atau Virgin Prunus Oil, adalah minyak alami yang diekstrak dari biji buah plum. Berfungsi sebagai emolien dan antioksidan, bahan ini sangat kaya akan asam lemak esensial seperti asam oleat (omega-9) dan asam linoleat (omega-6), serta vitamin E yang membantu melembapkan, menutrisi, dan melindungi kulit dari kerusakan radikal bebas. Teksturnya yang ringan dan cepat meresap menjadikannya ideal untuk menghidrasi kulit kering, menyeimbangkan produksi sebum pada kulit berminyak, serta memberikan efek anti-penuaan dengan meningkatkan elastisitas kulit. Selain manfaatnya untuk wajah, minyak ini juga sering digunakan dalam perawatan bibir dan rambut untuk memberikan kilau alami serta perlindungan dari stres lingkungan.",Normal
pseudoalteromonas-exopolysaccharides,Pseudoalteromonas Exopolysaccharides,,moisturizer/humectant,"Pseudoalteromonas Exopolysaccharides adalah bahan pelembap alami hasil bioteknologi yang diperoleh melalui fermentasi bakteri laut Pseudoalteromonas. Dikenal sebagai alternatif nabati untuk asam hialuronat, bahan ini kaya akan asam glukuronat yang memiliki kemampuan luar biasa untuk mengikat dan menahan air di dalam kulit. Selain memberikan hidrasi intens dan tahan lama, bahan ini bekerja efektif untuk menghaluskan tekstur kulit, mengurangi kekasaran, serta menyamarkan garis halus dan kerutan. Karena kemampuannya dalam memperkuat sawar kulit dan merangsang regenerasi sel, bahan ini sering ditemukan dalam produk perawatan anti-penuaan untuk memberikan efek kulit yang lebih kencang, kenyal, dan bercahaya.",Normal
pseudoalteromonas-ferment-extract,Pseudoalteromonas Ferment Extract,,"soothing, moisturizer/humectant, absorbent/mattifier","Pseudoalteromonas Ferment Extract adalah bahan bioteknologi yang dihasilkan melalui fermentasi bakteri laut dari perairan dingin Antartika. Bahan multifungsi ini dikenal karena kemampuannya yang luar biasa dalam meningkatkan hidrasi kulit, merangsang produksi kolagen dan elastin, serta melindungi kulit dari kondisi cuaca ekstrem. Selain manfaat anti-penuaan yang membantu mengurangi kerutan, bahan ini juga efektif dalam mengatur produksi sebum, sehingga cocok untuk membantu mengatasi masalah kulit berminyak dan menjaga tekstur kulit tetap halus serta kencang.",Berminyak
pseudozyma-epicola,Pseudozyma Epicola,,,"Pseudozyma Epicola adalah spesies bakteri atau ragi yang digunakan dalam proses bioteknologi untuk memfermentasi minyak nabati dan ekstrak tumbuhan guna meningkatkan nilai nutrisinya. Bakteri ini menghasilkan enzim yang memecah komponen minyak menjadi asam lemak bebas dan senyawa yang lebih kecil, sehingga menciptakan produk akhir berupa minyak terfermentasi yang memiliki daya serap lebih cepat, tekstur yang tidak lengket, dan kemampuan untuk bercampur dengan air secara lebih baik. Dalam produk perawatan kulit dan rambut, bahan ini berfungsi sebagai pelembap (humektan), agen pengkondisi, serta penstabil emulsi yang membantu menjaga hidrasi sekaligus menghaluskan tekstur kulit. Karena kemampuannya dalam memperkuat sawar kulit (skin barrier) tanpa rasa berat, bahan hasil fermentasi Pseudozyma Epicola sering ditemukan dalam berbagai produk perawatan wajah modern untuk memberikan kelembapan intens dan nutrisi yang lebih efektif.",Normal
pseudozyma-epicola-camellia-sinensis-seed-oil-glucose-glycine-soja-meal-malt-extract-yeast-extract-ferment-filtrate,Pseudozyma Epicola/​Camellia Sinensis Seed Oil/​Glucose/​Glycine Soja Meal/​Malt Extract/​Yeast Extract Ferment Filtrate,Fermentoil Green Tea Seed,"moisturizer/humectant, emulsion stabilising","Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal/Malt Extract/Yeast Extract Ferment Filtrate, yang dikenal dengan nama dagang Fermentoil Green Tea Seed, adalah bahan aktif hasil fermentasi minyak biji teh hijau menggunakan bakteri Pseudozyma. Proses fermentasi ini memecah komponen minyak menjadi asam lemak bebas yang lebih tinggi dan meningkatkan kandungan antioksidan seperti vitamin E dan polifenol. Bahan ini berfungsi sebagai pelembap dan penstabil emulsi yang memiliki tekstur lebih elegan, tidak lengket, dan lebih cepat meresap ke dalam kulit dibandingkan minyak biasa. Selain memberikan hidrasi, bahan ini juga memiliki sifat antiseptik dan anti-inflamasi, sehingga sangat disarankan untuk perawatan kulit berminyak dan berjerawat.",Berminyak
pullulan,Pullulan,,,"Pullulan adalah polisakarida alami yang diperoleh melalui proses fermentasi pati oleh jamur Aureobasidium pullulans. Dalam produk perawatan kulit, bahan ini berfungsi utama sebagai agen pembentuk lapisan (film-former) yang menciptakan lapisan tipis, elastis, dan transparan di atas permukaan kulit untuk memberikan efek pengencangan (tightening) dan penghalusan instan. Selain kemampuannya dalam menyamarkan garis halus dan kerutan secara sementara, Pullulan juga berperan sebagai humektan yang membantu mengunci kelembapan, memperkuat sawar kulit (skin barrier), serta meningkatkan tekstur dan daya sebar produk. Karena sifatnya yang lembut, non-iritasi, dan mudah larut dalam air, bahan ini sering digunakan dalam serum anti-penuaan, masker wajah, hingga produk riasan wajah untuk memberikan hasil akhir yang halus dan tahan lama.",Normal
pulsatilla-koreana-extract,Pulsatilla Koreana Extract,Korean Pasque Flower Extract,"antimicrobial/antibacterial, preservative","Pulsatilla Koreana Extract, juga dikenal sebagai ekstrak bunga pasque Korea, adalah bahan alami yang diperoleh dari seluruh bagian tanaman Pulsatilla koreana yang merupakan tanaman herbal tradisional asal Korea. Dalam industri kosmetik, bahan ini berfungsi utama sebagai pengawet alami dan agen antimikroba yang efektif melawan bakteri serta jamur, sehingga sering digunakan bersama ekstrak tumbuhan lain dalam sistem pengawet alami. Selain menjaga stabilitas produk, ekstrak ini juga memiliki sifat penenang (soothing) dan anti-inflamasi yang kuat untuk membantu meredakan iritasi, kemerahan, serta memperkuat penghalang pelindung kulit (skin barrier). Karena kemampuannya dalam menyeimbangkan produksi sebum dan melawan bakteri penyebab jerawat, bahan ini sangat cocok digunakan dalam formula produk untuk kulit sensitif, berminyak, maupun berjerawat.",Normal
punica-granatum-seed-oil,Punica Granatum Seed Oil,Pomegranate Seed Oil,"antioxidant, emollient","Punica Granatum Seed Oil, yang lebih dikenal sebagai Pomegranate Seed Oil atau minyak biji delima, adalah minyak nabati kaya nutrisi yang diekstrak dari biji buah delima. Berfungsi sebagai antioksidan kuat dan emolien, minyak ini sangat unik karena kandungan asam punisatnya yang tinggi, yaitu asam lemak omega-5 langka yang memiliki sifat anti-inflamasi luar biasa. Dalam perawatan kulit, bahan ini membantu merangsang regenerasi epidermis, meningkatkan elastisitas kulit, dan melindungi dari kerusakan radikal bebas akibat paparan lingkungan. Minyak ini sangat efektif untuk melembapkan kulit kering, menenangkan kulit yang teriritasi atau terbakar sinar matahari, serta memberikan efek anti-penuaan tanpa meninggalkan rasa lengket.",Normal
pyrus-malus-fruit-extract,Pyrus Malus Fruit Extract,Apple Fruit Extract,moisturizer/humectant,"Pyrus Malus (Apple) Fruit Extract adalah bahan alami yang kaya akan vitamin C, polifenol, dan Alpha Hydroxy Acids (AHA) seperti asam malat. Dalam perawatan kulit, ekstrak ini berfungsi sebagai humektan yang efektif untuk menghidrasi dan menjaga kelembutan kulit. Selain itu, kandungan antioksidannya membantu melindungi kulit dari radikal bebas, sementara kandungan AHA alaminya memberikan efek eksfoliasi lembut untuk mencerahkan dan memperbaiki tekstur kulit.",Normal
quercetin,Quercetin,,"antioxidant, soothing","Quercetin adalah bahan bioflavonoid alami yang dapat ditemukan dalam berbagai buah dan sayuran seperti bawang merah, apel, beri, serta teh dan anggur merah. Dalam perawatan kulit, bahan ini berfungsi sebagai antioksidan kuat yang membantu melindungi kulit dari kerusakan akibat radikal bebas dan radiasi UVB, sekaligus memiliki sifat menenangkan (soothing) untuk meredakan iritasi. Selain kemampuannya dalam menjaga kesehatan sawar kulit, Quercetin juga dikenal sebagai bahan restoratif yang membantu memperbaiki tekstur dan memberikan efek anti-penuaan bagi semua jenis kulit. Karena pigmen alaminya, penggunaan bahan ini dalam konsentrasi tinggi sering kali memberikan warna kuning pucat hingga keemasan pada produk kosmetik.",Normal
raffinose,Raffinose,,moisturizer/humectant,"Raffinose adalah trisakarida alami yang ditemukan dalam berbagai sayuran seperti bit, brokoli, dan kacang-kacangan. Dalam produk perawatan kulit, bahan ini berfungsi sebagai pelembap (humektan) yang sangat efektif untuk menarik dan mengikat kadar air pada lapisan kulit, sehingga memberikan tampilan wajah yang lebih kenyal, halus, dan sehat. Selain kemampuannya dalam menghidrasi, Raffinose membantu memperkuat sawar kulit (skin barrier), melindungi sel dari stres lingkungan, serta meningkatkan penyerapan bahan aktif lainnya dalam formula kosmetik. Karena sifatnya yang lembut dan mampu menenangkan kulit, bahan ini sering digunakan dalam produk perawatan untuk kulit kering, sensitif, maupun produk anti-penuaan.",Normal
raspberry-ketone,Raspberry Ketone,,perfuming,"Raspberry Ketone adalah senyawa fenolik alami yang memberikan aroma khas pada buah beri seperti rasberi merah, kranberi, dan beri hitam. Dalam industri kosmetik dan perawatan kulit, bahan ini sering diproduksi secara sintetis karena biaya ekstraksi alaminya yang sangat tinggi. Fungsi utamanya adalah sebagai agen pewangi (perfuming) yang memberikan aroma manis, buah, dan menyerupai selai dengan nuansa bunga serta kayu. Selain aromanya, bahan ini dikenal memiliki sifat antioksidan kuat yang membantu melindungi kulit dari radikal bebas dan penuaan dini, serta membantu menjaga elastisitas kulit. Beberapa penelitian juga menunjukkan potensinya dalam menenangkan iritasi, mendukung kesehatan mikrobioma kulit, dan merangsang pertumbuhan rambut dengan meningkatkan ekspresi faktor pertumbuhan pada folikel rambut. Karena kemampuannya yang multifungsi, Raspberry Ketone sering ditemukan dalam berbagai produk mulai dari parfum, pelembap, hingga produk perawatan rambut.",Normal
raspberry-seed-oil-tocopheryl-succinate-aminopropanediol-esters,Raspberry Seed Oil/​Tocopheryl Succinate Aminopropanediol Esters,Vitaskin E,moisturizer/humectant,"Raspberry Seed Oil/Tocopheryl Succinate Aminopropanediol Esters, yang dikenal dengan nama dagang Vitaskin E, adalah bahan aktif hasil bioteknologi yang menggabungkan minyak biji raspberry dengan turunan vitamin E. Bahan ini berfungsi sebagai pelembap dan agen regenerasi kulit yang efektif untuk memperbaiki sawar kulit (skin barrier), meningkatkan hidrasi, serta meredakan kulit kering dan pecah-pecah. Kaya akan Omega 3 dan 6 yang stabil terhadap oksidasi, bahan ini membantu memperkuat struktur jaringan kulit dan memberikan efek menenangkan sekaligus merevitalisasi kulit yang rusak atau menua.",Normal
resveratrol,Resveratrol,,antioxidant,"Resveratrol adalah senyawa polifenol alami yang ditemukan melimpah pada kulit anggur merah, beri, dan kacang-kacangan. Dikenal sebagai antioksidan super, bahan ini bekerja dengan menetralkan radikal bebas dan melindungi kulit dari stres oksidatif akibat polusi serta radiasi UV yang memicu penuaan dini. Selain fungsi perlindungannya, Resveratrol mampu merangsang produksi kolagen, meningkatkan elastisitas, dan menyamarkan garis halus serta kerutan, sehingga sering disebut sebagai molekul umur panjang (longevity molecule). Sifat anti-inflamasinya yang kuat sangat efektif untuk menenangkan kemerahan dan iritasi, sementara kemampuannya menghambat enzim tirosinase membantu mencerahkan noda hitam serta meratakan warna kulit. Dengan profil keamanan yang tinggi, bahan ini menjadi pilihan ideal dalam produk anti-penuaan dan perawatan kulit sensitif untuk mendapatkan kompleksitas wajah yang lebih sehat, kencang, dan bercahaya.",Normal
retinal,Retinal,"Form of Retinoids, Retinaldehyde",cell-communicating ingredient,"Retinal, atau retinaldehyde, adalah turunan Vitamin A yang sangat kuat dan efektif untuk meremajakan kulit. Sebagai bentuk retinoid yang hanya selangkah sebelum menjadi asam retinoat aktif, bahan ini bekerja lebih cepat daripada retinol dalam mendorong regenerasi sel kulit dan menstimulasi produksi kolagen. Fungsi utamanya mencakup menyamarkan garis halus dan kerutan, memperbaiki tekstur kulit yang kasar, serta membantu mengatasi jerawat berkat sifat antibakteri alaminya. Meskipun sangat poten, retinal umumnya dapat ditoleransi dengan baik dan memberikan hasil kulit yang lebih cerah, kencang, dan tampak lebih muda.",Normal
retinol,Retinol,"Vitamin A, Form of Retinoids",cell-communicating ingredient,"Retinol adalah turunan vitamin A yang sering dianggap sebagai standar emas dalam perawatan kulit karena kemampuannya yang luar biasa untuk memperbaiki tekstur dan tanda-tanda penuaan. Bahan ini bekerja dengan cara merangsang pergantian sel kulit mati dan meningkatkan produksi kolagen, sehingga efektif untuk menyamarkan garis halus, kerutan, serta noda hitam. Selain manfaat anti-aging, retinol juga membantu mengatasi jerawat dengan cara menjaga pori-pori agar tetap bersih dari sumbatan minyak dan sel kulit mati. Karena sifatnya yang aktif, penggunaan retinol sebaiknya dimulai secara bertahap untuk menghindari iritasi dan wajib disertai dengan penggunaan tabir surya di pagi hari.",Normal
retinyl-palmitate,Retinyl Palmitate,Form of Retinoids,cell-communicating ingredient,"Retinyl Palmitate adalah ester dari retinol dan asam palmitat yang merupakan bentuk turunan vitamin A (retinoid) paling lembut dan stabil. Dalam perawatan kulit, bahan ini berfungsi sebagai agen komunikasi sel yang bekerja dengan mempercepat regenerasi sel dan merangsang produksi kolagen untuk membantu menyamarkan garis halus, kerutan, serta memperbaiki tekstur kulit. Karena membutuhkan tiga tahap konversi menjadi asam retinoat aktif di dalam kulit, bahan ini memiliki potensi iritasi yang jauh lebih rendah dibandingkan retinol murni, sehingga sangat cocok untuk pemilik kulit sensitif atau pemula yang baru menggunakan produk retinoid. Selain manfaat anti-penuaan, Retinyl Palmitate juga memiliki sifat antioksidan yang membantu melindungi kulit dari kerusakan akibat radikal bebas dan stres lingkungan.",Normal
retinyl-propionate,Retinyl Propionate,"Form of Retinoids, Retinol Ester",cell-communicating ingredient,"Retinyl Propionate adalah ester retinoid sintetis yang merupakan gabungan dari retinol (vitamin A) dan asam propionat. Sebagai bagian dari keluarga retinoid, bahan ini berfungsi sebagai bahan komunikasi sel (cell-communicating ingredient) yang bekerja dengan cara mempercepat pembaruan sel kulit, merangsang produksi kolagen dan elastin, serta menghambat enzim yang merusak struktur kulit. Dibandingkan dengan bentuk retinoid lain seperti Retinyl Palmitate, Retinyl Propionate memiliki ukuran molekul yang lebih optimal sehingga mampu berpenetrasi lebih efektif ke dalam lapisan dermis namun dengan risiko iritasi yang lebih rendah daripada retinol murni. Bahan ini sangat efektif untuk menyamarkan garis halus, kerutan, dan hiperpigmentasi, serta membantu memperbaiki tekstur kulit yang kasar akibat penuaan dini atau kerusakan sinar matahari.",Normal
retinyl-retinoate,Retinyl Retinoate,"Form of Retinoids, Retinol-8",cell-communicating ingredient,"Retinyl Retinoate adalah molekul hibrida generasi terbaru yang dibuat dengan menggabungkan retinol dan asam retinoat melalui proses esterifikasi. Sebagai turunan vitamin A yang sangat canggih, bahan ini dikenal memiliki efektivitas hingga delapan kali lebih kuat dibandingkan retinol biasa dalam merangsang sintesis kolagen dan memperbaiki tanda-tanda penuaan seperti kerutan dan garis halus. Keunggulan utamanya terletak pada stabilitasnya yang tinggi terhadap cahaya, sehingga dapat digunakan pada siang hari, serta sifatnya yang jauh lebih lembut dan minim iritasi dibandingkan retinoid tradisional. Bahan ini bekerja secara efisien dengan cara terurai langsung menjadi asam retinoat aktif dan retinol di dalam kulit, menjadikannya solusi ideal untuk peremajaan kulit sensitif.",Normal
ricinus-communis-seed-oil,Ricinus Communis Seed Oil,Castor Oil,"emollient, perfuming","Ricinus Communis Seed Oil, yang lebih dikenal sebagai Castor Oil atau Minyak Jarak, adalah minyak nabati kaya nutrisi yang diekstrak dari biji tanaman jarak. Berfungsi utama sebagai emolien dan humektan, minyak ini mengandung konsentrasi asam risinoleat yang tinggi yang bekerja efektif untuk mengunci kelembapan, menghidrasi kulit secara mendalam, dan memperkuat sawar kulit (skin barrier). Selain kemampuannya dalam melembutkan kulit dan bibir, bahan ini juga memiliki sifat anti-inflamasi serta antimikroba yang membantu menenangkan iritasi dan mendukung kesehatan kulit kepala serta pertumbuhan rambut. Karena teksturnya yang kental dan daya rekatnya yang baik, Castor Oil sering digunakan dalam berbagai produk kosmetik seperti lipstik, pembersih wajah, dan perawatan bulu mata untuk memberikan kilau alami dan perlindungan tahan lama.",Normal
rosa-canina-fruit-oil,Rosa Canina Fruit Oil,Rosehip Oil,emollient,"Rosa Canina Fruit Oil, yang lebih dikenal sebagai Rosehip Oil, adalah minyak nabati yang diekstrak dari biji buah mawar liar. Berfungsi utama sebagai emolien, minyak ini sangat kaya akan asam lemak esensial seperti omega-3, 6, dan 9, serta antioksidan seperti vitamin E dan karotenoid yang membantu regenerasi sel kulit. Bahan ini dikenal efektif untuk menghidrasi kulit kering, memperbaiki tekstur kulit, menyamarkan bekas luka, serta menenangkan iritasi berkat sifat anti-inflamasinya. Memiliki tekstur yang ringan dan cepat meresap, Rosehip Oil memberikan nutrisi mendalam untuk meningkatkan elastisitas dan memberikan kilau alami pada kulit tanpa rasa berminyak yang berlebihan.",Normal
rosa-canina-seed-oil,Rosa Canina Seed Oil,"Dog-Rose Seed Oil, Rosehip Seed Oil",emollient,"Rosa Canina Seed Oil, yang lebih dikenal sebagai Rosehip Seed Oil atau Dog-Rose Seed Oil, adalah minyak nabati yang diekstrak dari biji buah mawar liar. Berfungsi utama sebagai emolien, minyak ini sangat kaya akan asam lemak esensial seperti omega-3 (asam linolenat), omega-6 (asam linoleat), dan omega-9 (asam oleat) yang bekerja efektif untuk memperkuat sawar kulit (skin barrier) serta menjaga hidrasi dan elastisitas kulit. Selain itu, minyak ini mengandung antioksidan alami seperti vitamin A (beta-karoten) dan vitamin E yang membantu melindungi kulit dari radikal bebas, merangsang produksi kolagen, dan mempercepat regenerasi sel. Karena kemampuannya dalam memperbaiki tekstur kulit, Rosa Canina Seed Oil sering digunakan untuk menyamarkan bekas luka, hiperpigmentasi, serta mengurangi tanda-tanda penuaan dini seperti garis halus dan kerutan. Teksturnya yang ringan dan mudah menyerap menjadikannya pilihan populer untuk menenangkan kulit sensitif atau teriritasi tanpa meninggalkan rasa lengket yang berlebihan.",Normal
rosa-damascena-absolute,Rosa Damascena Absolute,Rose Absolute,"antioxidant, perfuming, antimicrobial/antibacterial","Rosa Damascena Absolute, atau yang lebih dikenal sebagai Rose Absolute, adalah ekstrak minyak aromatik mewah yang diperoleh melalui ekstraksi pelarut dari kelopak bunga mawar Damask. Dalam perawatan kulit, bahan ini sangat dihargai karena sifat multifungsinya sebagai antioksidan kuat yang melindungi kulit dari radikal bebas dan penuaan dini, serta memiliki kemampuan antimikroba dan anti-inflamasi untuk menenangkan iritasi. Rose Absolute bekerja efektif sebagai emolien yang menghidrasi dan mengunci kelembapan, menjadikannya ideal untuk kulit kering, sensitif, atau dewasa. Selain manfaat topikalnya, bahan ini memiliki aroma bunga yang manis dan intens yang memberikan efek menenangkan serta sering digunakan sebagai komponen wewangian alami yang elegan dalam produk kosmetik.",Normal
rosa-damascena-flower-cera,Rosa Damascena Flower Cera,Rose Wax,emollient,"Rosa Damascena Flower Cera, juga dikenal sebagai lilin mawar (rose wax), adalah bahan alami berbentuk padat yang diperoleh dari bunga mawar Damask. Berfungsi utama sebagai emolen, bahan ini membantu melembapkan, menghaluskan, dan melindungi kulit dengan cara mencegah penguapan air tanpa meninggalkan lapisan yang lengket. Selain itu, lilin ini sering digunakan dalam formulasi lipstik, perawatan rambut, dan produk tubuh sebagai pengatur kekentalan (consistency agent) sekaligus memberikan aroma bunga mawar yang mewah dan menenangkan.",Normal
rosa-damascena-flower-oil,Rosa Damascena Flower Oil,Damask Rose Flower Oil,"antioxidant, perfuming, antimicrobial/antibacterial","Rosa Damascena Flower Oil, yang juga dikenal sebagai Damask Rose Oil atau Rose Otto, adalah minyak esensial mewah yang diekstraksi melalui penyulingan uap dari kelopak bunga mawar damask. Dalam perawatan kulit, bahan ini berfungsi sebagai antioksidan kuat yang membantu melawan radikal bebas, serta memiliki sifat antibakteri dan anti-inflamasi yang efektif untuk menenangkan kulit sensitif atau berjerawat. Selain manfaat terapeutiknya untuk hidrasi dan anti-penuaan, minyak ini sangat dihargai dalam industri wewangian karena aroma bunganya yang kaya dan kompleks. Karena kandungan minyak yang sangat rendah pada kelopak mawar, diperlukan ribuan kilogram bunga untuk menghasilkan sedikit minyak, menjadikannya salah satu bahan alami paling berharga dalam kosmetik.",Normal
rosa-damascena-flower-water,Rosa Damascena Flower Water,"Damask Rose Flower Water, Rose Hydrosol",,"Rosa Damascena Flower Water, yang juga dikenal sebagai air mawar Damask atau Rose Hydrosol, adalah cairan aromatik yang diperoleh dari hasil distilasi uap kelopak bunga mawar Damask. Bahan alami ini kaya akan antioksidan, vitamin, dan mineral yang berfungsi untuk menenangkan kulit sensitif, mengurangi kemerahan, serta menjaga keseimbangan pH alami kulit. Selain memberikan hidrasi yang menyegarkan, air mawar ini juga memiliki sifat astringen lembut yang membantu mengecilkan tampilan pori-pori dan memberikan efek relaksasi melalui aroma bunganya yang menenangkan.",Normal
rosa-rubiginosa-seed-oil,Rosa Rubiginosa Seed Oil,"Rosehip Seed Oil, Rosa Mosqueta Seed Oil, Rosa Eglanteria Seed Oil","antioxidant, emollient","Rosa Rubiginosa Seed Oil, yang lebih dikenal sebagai Rosehip Seed Oil, adalah minyak nabati mewah yang diekstraksi dari biji mawar liar yang tumbuh subur di pegunungan Andes. Bahan ini merupakan standar emas dalam perawatan kulit karena kandungan alaminya yang kaya akan asam lemak esensial (seperti omega-3 dan 6), vitamin A (dalam bentuk trans-retinoic acid), vitamin C, dan antioksidan kuat. Berfungsi ganda sebagai emolien dan antioksidan, minyak ini sangat efektif untuk merangsang regenerasi sel kulit, memudarkan bekas luka dan hiperpigmentasi, serta menyamarkan garis halus atau kerutan. Teksturnya yang ringan dan mudah meresap menjadikannya pilihan ideal untuk menutrisi kulit kering, dewasa, maupun sensitif tanpa meninggalkan rasa lengket, sekaligus memperkuat lapisan pelindung kulit untuk menjaga hidrasi tetap optimal.",Normal
rosmarinus-officinalis-leaf-extract,Rosmarinus Officinalis Leaf Extract,Rosemary Leaf Extract,"antioxidant, soothing, antimicrobial/antibacterial","Rosmarinus Officinalis (Rosemary) Leaf Extract adalah ekstrak alami yang diperoleh dari daun tanaman rosemary yang kaya akan senyawa bioaktif seperti asam rosmarinik dan karnosat. Dalam perawatan kulit, bahan ini berfungsi sebagai antioksidan kuat yang melindungi kulit dari radikal bebas dan penuaan dini, serta memiliki sifat menenangkan (soothing) untuk meredakan iritasi. Selain itu, ekstrak ini juga memiliki kemampuan antimikroba yang membantu menjaga kebersihan kulit serta membantu menstabilkan sistem pengawet dalam formula kosmetik.",Normal
