Ingredient,Jenis Kulit Cocok,Alasan Jenis Kulit Cocok,Jenis Kulit Tidak Cocok,Alasan Jenis Kulit Tidak Cocok,Masalah Kulit Cocok,Alasan Masalah Kulit Cocok,Masalah Kulit Tidak Cocok,Alasan Masalah Kulit Tidak Cocok,Masalah Kulit Evidence Strength,Masalah Kulit Contraindication Strength,Jenis Kulit Contraindication Strength,Evidence Level / Catatan (Jenis Kulit)
Camellia Japonica Flower Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya polifenol dan antioksidan sehingga membantu melindungi kulit dari stres oksidatif dan menjaga kelembapan.,-,-,"Kusam, Kemerahan","Membantu menenangkan kulit, melindungi dari radikal bebas, dan mendukung kesehatan skin barrier.",-,-,Kusam: Supportive; Kemerahan: Supportive,-,,
Formic Acid,-,-,"Normal, Berminyak, Kering, Kombinasi","Asam organik yang dapat menyebabkan iritasi pada kulit, terutama pada konsentrasi tinggi atau skin barrier yang terganggu.",-,-,"Kemerahan, PIE, PIH","Berpotensi menimbulkan sensasi perih dan memperburuk inflamasi pada kulit sensitif. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",-,Kemerahan: Moderate; PIE: Low; PIH: Low,,"Bersifat iritan/korosif pada konsentrasi tinggi (biasa dipakai sebagai pengatur pH/preservative pada konsentrasi rendah); efeknya generalis-iritan, bukan spesifik fisiologi jenis kulit."
Ethyl Ascorbic Acid,"Normal, Berminyak, Kering, Kombinasi",Turunan Vitamin C yang stabil dan memiliki toleransi kulit yang baik pada berbagai jenis kulit.,-,-,"PIH, Kusam, Aging","Membantu menghambat pembentukan melanin, meningkatkan sintesis kolagen, serta memberikan perlindungan antioksidan.",-,-,PIH: Supportive; Kusam: Supportive; Aging: Supportive,-,,
Hydrolyzed Hyaluronic Acid,"Normal, Berminyak, Kering, Kombinasi",Molekul hyaluronic acid berukuran lebih kecil yang membantu meningkatkan penetrasi hidrasi ke lapisan kulit lebih dalam.,-,-,"Kusam, PIE, Kemerahan","Membantu meningkatkan hidrasi, memperbaiki elastisitas kulit, dan mendukung pemulihan skin barrier.",-,-,Kusam: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Potassium Hyaluronate,"Normal, Berminyak, Kering, Kombinasi",Garam hyaluronic acid yang berfungsi sebagai humectant untuk mempertahankan kelembapan kulit.,-,-,"Kusam, PIE, Kemerahan",Membantu menjaga hidrasi kulit dan memperbaiki fungsi skin barrier.,-,-,Kusam: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Hydroxypropyltrimonium Hyaluronate,"Normal, Berminyak, Kering, Kombinasi",Turunan hyaluronic acid bermuatan positif yang memiliki daya lekat tinggi pada kulit sehingga memberikan hidrasi lebih tahan lama.,-,-,"Kusam, PIE, Kemerahan",Membantu mempertahankan kelembapan kulit lebih lama dan meningkatkan kenyamanan kulit.,-,-,Kusam: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
PEG-9 Diglycidyl Ether Sodium Hyaluronate Crosspolymer,"Normal, Berminyak, Kering, Kombinasi",Bentuk crosslinked sodium hyaluronate yang memberikan hidrasi tahan lama dan memperkuat skin barrier.,-,-,"Kusam, PIE, Kemerahan",Membantu memberikan hidrasi jangka panjang serta meningkatkan elastisitas kulit.,-,-,Kusam: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Bakuchiol,"Normal, Berminyak, Kering, Kombinasi",Senyawa aktif nabati yang memiliki aktivitas mirip retinol dengan toleransi yang umumnya lebih baik pada berbagai jenis kulit.,-,-,"Berjerawat, PIH, Aging","Membantu meningkatkan sintesis kolagen, mempercepat regenerasi kulit, mengurangi hiperpigmentasi, serta memiliki aktivitas anti-inflamasi yang bermanfaat pada kulit berjerawat.",-,-,Berjerawat: Supportive; PIH: Supportive; Aging: Primary,-,,
Malus Domestica Fruit Cell Culture Extract,"Normal, Berminyak, Kering, Kombinasi",Ekstrak kultur sel apel yang kaya antioksidan dan membantu melindungi kulit dari stres oksidatif.,-,-,Kusam,Membantu melindungi sel kulit dari kerusakan akibat radikal bebas dan mendukung tampilan kulit yang lebih sehat.,-,-,Kusam: Supportive,-,,
Laminaria Digitata Extract,"Normal, Berminyak, Kering, Kombinasi","Ekstrak alga cokelat yang kaya mineral, polisakarida, dan antioksidan sehingga membantu menjaga hidrasi kulit.",-,-,"Kusam, Kemerahan","Membantu meningkatkan hidrasi, memberikan efek menenangkan, dan melindungi kulit dari stres oksidatif.",-,-,Kusam: Supportive; Kemerahan: Supportive,-,,
Picea Abies Extract,"Normal, Berminyak, Kering, Kombinasi",Ekstrak spruce yang mengandung senyawa antioksidan untuk membantu melindungi kulit dari kerusakan akibat radikal bebas.,-,-,Kusam,Membantu mengurangi stres oksidatif dan menjaga kesehatan kulit.,-,-,Kusam: Supportive,-,,
Panax Ginseng Root Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya ginsenosida dan antioksidan sehingga membantu meningkatkan vitalitas kulit serta melindungi dari radikal bebas.,-,-,Kusam,"Membantu meningkatkan elastisitas kulit, mengurangi tanda penuaan, dan menjaga kulit tampak lebih sehat.",-,-,Kusam: Supportive,-,,
Tetrapeptide-21,"Normal, Berminyak, Kering, Kombinasi",Peptida biomimetik yang membantu merangsang sintesis kolagen dan meningkatkan elastisitas kulit.,-,-,Aging,Membantu mengurangi tanda-tanda penuaan dengan mendukung regenerasi matriks kulit dan meningkatkan kekencangan kulit.,-,-,Aging: Supportive,-,,
Caffeine,"Normal, Berminyak, Kering, Kombinasi",Antioksidan yang membantu melindungi kulit dari stres oksidatif dan memiliki efek soothing ringan.,-,-,Kemerahan,"Membantu mengurangi inflamasi ringan, melindungi kulit dari radikal bebas, dan mendukung tampilan kulit yang lebih segar.",-,-,Kemerahan: Supportive,-,,
Squalane,"Normal, Berminyak, Kering, Kombinasi",Emollient yang menyerupai sebum alami kulit sehingga membantu menjaga kelembapan tanpa terasa berat dan umumnya non-komedogenik.,-,-,Kemerahan,"Membantu memperbaiki skin barrier, mengurangi kehilangan air (TEWL), dan menjaga elastisitas kulit.",-,-,Kemerahan: Supportive,-,,
Triethylhexanoin,"Normal, Berminyak, Kering, Kombinasi",Emollient ringan yang memberikan kelembutan pada kulit dan membantu mengurangi kehilangan air.,-,-,Kusam,Membantu menjaga kelembapan dan membuat permukaan kulit terasa lebih halus.,-,-,Kusam: Supportive,-,,
Beta Carotene,"Normal, Berminyak, Kering, Kombinasi",Antioksidan dan provitamin A yang membantu melindungi kulit dari kerusakan akibat radikal bebas.,-,-,Kusam,Membantu mengurangi stres oksidatif dan menjaga kesehatan kulit.,-,-,Kusam: Supportive,-,,
Helianthus Annuus (Sunflower) Seed Oil,"Normal, Berminyak, Kering, Kombinasi",Kaya asam linoleat dan vitamin E sehingga membantu memperkuat skin barrier dan menjaga kelembapan kulit.,-,-,"Berjerawat, Kemerahan","Membantu memperbaiki skin barrier, memiliki efek anti-inflamasi, dan umumnya cocok untuk kulit acne-prone karena kandungan asam linoleatnya.",-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,
Hydrolyzed Soy Protein,"Normal, Berminyak, Kering, Kombinasi",Protein terhidrolisis yang membantu meningkatkan hidrasi dan memperbaiki kondisi permukaan kulit.,-,-,Kusam,Membantu meningkatkan kelembapan dan elastisitas kulit.,-,-,Kusam: Supportive,-,,
Stearyl Alcohol,"Normal, Berminyak, Kering, Kombinasi",Fatty alcohol yang berfungsi sebagai emollient dan membantu mengurangi kehilangan air dari kulit.,-,-,Kemerahan,Membantu menjaga kelembapan dan memperbaiki skin barrier.,-,-,Kemerahan: Supportive,-,,
Retinyl Palmitate,"Normal, Berminyak, Kombinasi",Turunan vitamin A yang membantu meningkatkan regenerasi sel kulit dengan potensi iritasi lebih rendah dibanding retinol.,Kering,Pada kulit yang sangat kering atau skin barrier terganggu dapat meningkatkan rasa kering dan sensitivitas.,"Berjerawat, PIH, Aging","Membantu mempercepat regenerasi sel kulit, meningkatkan produksi kolagen, serta membantu memudarkan bekas jerawat dan hiperpigmentasi.",Kemerahan,Dapat menyebabkan iritasi pada kulit sensitif atau yang sedang mengalami inflamasi.,Berjerawat: Supportive; PIH: Supportive; Aging: Supportive,Kemerahan: Low,Kering: Low,"Ester vitamin A yang jauh lebih ringan dari retinol; evidence iritasi minimal, sering dipakai justru karena toleransinya baik."
Thioctic Acid (Alpha Lipoic Acid),"Normal, Berminyak, Kering, Kombinasi",Antioksidan kuat yang membantu melindungi kulit dari kerusakan akibat radikal bebas.,-,-,Kusam,Membantu mengurangi stres oksidatif dan mendukung elastisitas kulit.,-,-,Kusam: Supportive,-,,
Zea Mays (Corn) Oil,"Normal, Kering, Kombinasi",Mengandung asam lemak esensial dan vitamin E yang membantu menjaga kelembapan kulit.,Berminyak,Pada kulit yang sangat berminyak dapat terasa lebih oklusif pada sebagian individu.,Kusam,Membantu menjaga kelembapan dan memperbaiki tekstur kulit.,Berjerawat,Pada sebagian individu acne-prone dapat meningkatkan risiko pori tersumbat karena sifatnya yang cukup oklusif.,Kusam: Supportive,Berjerawat: Low,Berminyak: Low,Minyak nabati dengan rating komedogenik rendah-moderat pada tabel klasik; evidence spesifik terbatas.
Lactococcus Ferment Lysate,"Normal, Berminyak, Kering, Kombinasi",Probiotic ferment yang membantu menjaga keseimbangan mikrobioma kulit dan memperkuat skin barrier.,-,-,"Berjerawat, Kemerahan","Membantu memperkuat skin barrier, mengurangi inflamasi, dan meningkatkan ketahanan kulit.",-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,
4-t-Butylcyclohexanol,"Normal, Berminyak, Kering, Kombinasi","Bahan soothing yang membantu mengurangi sensasi terbakar, perih, dan iritasi pada kulit sensitif.",-,-,"Kemerahan, PIE",Membantu menenangkan kulit dan mengurangi neurogenic inflammation.,-,-,Kemerahan: Supportive; PIE: Supportive,-,,
Ectoin,"Normal, Berminyak, Kering, Kombinasi",Extremolyte yang melindungi sel kulit dari stres lingkungan serta memperkuat skin barrier.,-,-,"Kemerahan, PIE","Membantu mengurangi inflamasi, meningkatkan hidrasi, dan melindungi skin barrier.",-,-,Kemerahan: Supportive; PIE: Supportive,-,,
Retinol,"Normal, Berminyak, Kombinasi",Retinoid dengan evidence kuat untuk regenerasi kulit dan stimulasi kolagen.,Kering,Dapat meningkatkan kekeringan dan iritasi terutama pada awal penggunaan.,"Berjerawat, PIH, Aging","Membantu mempercepat pergantian sel, meningkatkan produksi kolagen, dan memudarkan hiperpigmentasi.",Kemerahan,Dapat memperburuk iritasi pada kulit yang sensitif atau skin barrier terganggu.,Berjerawat: Supportive; PIH: Supportive; Aging: Primary,Kemerahan: Moderate,Kering: Moderate,"Retinisasi (iritasi/deskuamasi/kekeringan) adalah efek yang terdokumentasi konsisten secara mekanistik, namun tingkat keparahannya sangat bergantung konsentrasi, formulasi, dan frekuensi pemakaian."
Adenosine,"Normal, Berminyak, Kering, Kombinasi",Memiliki efek skin conditioning dan membantu meningkatkan elastisitas kulit.,-,-,Aging,Membantu mengurangi tampilan garis halus dan kerutan melalui stimulasi aktivitas sel kulit.,-,-,Aging: Supportive,-,,
Ergothioneine,"Normal, Berminyak, Kering, Kombinasi",Antioksidan kuat yang membantu melindungi kulit dari stres oksidatif.,-,-,Kusam,Membantu melindungi sel kulit dari radikal bebas dan mendukung kesehatan kulit.,-,-,Kusam: Supportive,-,,
Ascorbyl Tetraisopalmitate,"Normal, Berminyak, Kering, Kombinasi","Turunan Vitamin C yang larut minyak, stabil, dan memiliki penetrasi kulit yang baik.",-,-,"PIH, Kusam, Aging","Membantu mencerahkan kulit, meningkatkan sintesis kolagen, dan memberikan perlindungan antioksidan.",-,-,PIH: Supportive; Kusam: Supportive; Aging: Supportive,-,,
Sodium Lauroyl Lactylate,"Normal, Berminyak, Kering, Kombinasi",Emulsifier yang juga membantu memperkuat skin barrier dan meningkatkan penetrasi bahan aktif.,-,-,Kemerahan,Membantu menjaga integritas skin barrier dan meningkatkan hidrasi kulit.,-,-,Kemerahan: Supportive,-,,
Palmitoyl Tripeptide-5,"Normal, Berminyak, Kering, Kombinasi",Peptida biomimetik yang membantu merangsang produksi kolagen.,-,-,Aging,Membantu meningkatkan elastisitas kulit dan mengurangi tanda-tanda penuaan.,-,-,Aging: Supportive,-,,
Hydroxypinacolone Retinoate,"Normal, Berminyak, Kombinasi",Retinoid ester yang bekerja langsung pada reseptor retinoid dengan toleransi lebih baik dibanding retinol.,Kering,Tetap berpotensi menyebabkan kulit kering dan iritasi pada sebagian individu.,"Berjerawat, PIH, Aging","Membantu regenerasi kulit, mengurangi jerawat, meningkatkan kolagen, dan memudarkan hiperpigmentasi.",Kemerahan,Dapat meningkatkan sensitivitas kulit pada individu yang sensitif.,Berjerawat: Supportive; PIH: Supportive; Aging: Supportive,Kemerahan: Low,Kering: Low,Retinoid ester generasi baru yang dipasarkan dengan profil iritasi jauh lebih rendah dari retinol pada studi terbatas yang ada.
10-Hydroxydecanoic Acid,"Berminyak, Kombinasi",Membantu mengontrol produksi sebum dan menjaga keseimbangan mikrobioma kulit.,-,-,Berjerawat,Mendukung pengurangan minyak berlebih dan membantu menghambat pertumbuhan bakteri penyebab jerawat.,-,-,Berjerawat: Supportive,-,,
"1,10-Decanediol","Normal, Berminyak, Kering, Kombinasi",Memiliki aktivitas antimikroba ringan sekaligus berfungsi sebagai skin conditioning agent.,-,-,Berjerawat,Membantu menghambat pertumbuhan mikroorganisme pada kulit.,-,-,Berjerawat: Supportive,-,,
Gardenia Florida Flower Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya antioksidan yang membantu melindungi kulit dari radikal bebas.,-,-,Kusam,Membantu menjaga kesehatan kulit melalui aktivitas antioksidan.,-,-,Kusam: Supportive,-,,
Magnolia Officinalis Bark Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung honokiol dan magnolol yang memiliki aktivitas antioksidan dan anti-inflamasi.,-,-,"Berjerawat, Kemerahan",Membantu mengurangi inflamasi kulit sekaligus memberikan perlindungan antioksidan.,-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,
Sebacic Acid,"Berminyak, Kombinasi",Membantu mengontrol produksi sebum dan umum digunakan pada formulasi kulit berminyak.,-,-,Berjerawat,Membantu mengurangi minyak berlebih yang berkontribusi terhadap pembentukan jerawat.,-,-,Berjerawat: Supportive,-,,
Punica Granatum Pericarp Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya polifenol dan antioksidan sehingga membantu melindungi kulit dari kerusakan akibat radikal bebas.,-,-,Kusam,Membantu menjaga kesehatan kulit dan mendukung efek antioksidan.,-,-,Kusam: Supportive,-,,
Garcinia Mangostana Peel Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung xanthone yang memiliki aktivitas antioksidan dan anti-inflamasi.,-,-,"Berjerawat, Kusam",Membantu mengurangi inflamasi dan memberikan perlindungan antioksidan pada kulit.,-,-,Berjerawat: Supportive; Kusam: Supportive,-,,
Retinal (Retinaldehyde),"Normal, Berminyak, Kombinasi",Retinoid yang lebih poten daripada retinol namun tetap memiliki toleransi yang baik pada banyak pengguna.,Kering,Dapat meningkatkan kekeringan dan iritasi terutama pada awal penggunaan.,"Berjerawat, PIH, Aging","Membantu mempercepat regenerasi sel, meningkatkan produksi kolagen, dan memudarkan hiperpigmentasi.",Kemerahan,Dapat meningkatkan iritasi pada kulit sensitif atau skin barrier yang terganggu.,Berjerawat: Primary; PIH: Supportive; Aging: Primary,Kemerahan: Moderate,,
Phospholipids,"Normal, Berminyak, Kering, Kombinasi",Komponen lipid alami yang membantu memperkuat skin barrier dan meningkatkan hidrasi kulit.,-,-,Kemerahan,Membantu memperbaiki skin barrier dan mengurangi kehilangan air dari kulit.,-,-,Kemerahan: Supportive,-,,
Sodium Palmitoyl Proline,"Normal, Berminyak, Kering, Kombinasi",Skin conditioning agent yang membantu menjaga elastisitas dan hidrasi kulit.,-,-,Aging,Membantu meningkatkan kekencangan dan kualitas kulit.,-,-,Aging: Supportive,-,,
Nymphaea Alba Flower Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya antioksidan dan memiliki efek soothing pada kulit.,-,-,"Kemerahan, Kusam",Membantu menenangkan kulit dan melindungi dari radikal bebas.,-,-,Kemerahan: Supportive; Kusam: Supportive,-,,
Behenic Acid,"Normal, Kering, Kombinasi",Asam lemak yang berfungsi sebagai emollient dan membantu memperkuat skin barrier.,Berminyak,Dapat terasa lebih oklusif pada kulit yang sangat berminyak.,-,-,Berjerawat,Pada sebagian individu acne-prone dapat meningkatkan risiko penyumbatan pori.,-,Berjerawat: Low,Berminyak: Low,"Asam lemak rantai panjang, rating komedogenik rendah; fungsi utamanya thickener/texturizer."
Ceramide EOS,"Normal, Berminyak, Kering, Kombinasi",Ceramide yang berperan penting dalam mempertahankan struktur skin barrier dan mencegah kehilangan air.,-,-,"Kemerahan, PIE",Membantu memperbaiki skin barrier dan meningkatkan hidrasi kulit.,-,-,Kemerahan: Supportive; PIE: Supportive,-,,
Caprooyl Phytosphingosine,"Normal, Berminyak, Kering, Kombinasi",Turunan sphingolipid yang membantu memperkuat skin barrier dan memiliki aktivitas antimikroba ringan.,-,-,"Berjerawat, Kemerahan",Membantu memperbaiki skin barrier dan mendukung pengendalian bakteri penyebab jerawat.,-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,
Caprooyl Sphingosine,"Normal, Berminyak, Kering, Kombinasi",Turunan sphingolipid yang membantu memperkuat skin barrier dan menjaga keseimbangan kulit.,-,-,"Berjerawat, Kemerahan",Membantu mendukung skin barrier dan mengurangi inflamasi ringan.,-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,
Ascorbyl Palmitate,"Normal, Berminyak, Kering, Kombinasi",Turunan Vitamin C yang larut minyak dan berfungsi sebagai antioksidan.,-,-,"PIH, Kusam, Aging",Membantu melindungi kulit dari radikal bebas dan mendukung efek brightening.,-,-,PIH: Supportive; Kusam: Supportive; Aging: Supportive,-,,
Lecithin,"Normal, Berminyak, Kering, Kombinasi",Fosfolipid alami yang membantu memperbaiki skin barrier dan menjaga kelembapan kulit.,-,-,Kemerahan,Membantu meningkatkan hidrasi dan memperbaiki fungsi skin barrier.,-,-,Kemerahan: Supportive,-,,
Nicotiana Benthamiana Hexapeptide-40 SH-Polypeptide-76,"Normal, Berminyak, Kering, Kombinasi",Recombinant growth factor/peptide yang membantu mendukung regenerasi kulit.,-,-,Aging,Membantu meningkatkan regenerasi dan elastisitas kulit.,-,-,Aging: Supportive,-,,
Chamomilla Recutita Flower Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung bisabolol dan flavonoid yang membantu menenangkan kulit.,-,-,"Berjerawat, PIE, Kemerahan",Memiliki efek anti-inflamasi dan soothing yang membantu mengurangi iritasi.,-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Acetyl Hexapeptide-8,"Normal, Berminyak, Kering, Kombinasi",Peptida biomimetik yang membantu mengurangi kontraksi otot wajah secara ringan sehingga mengurangi tampilan garis halus.,-,-,Aging,Membantu mengurangi tampilan kerutan halus.,-,-,Aging: Supportive,-,,
Tetradecyl Aminobutyroylvalylaminobutyric Urea Trifluoroacetate,"Normal, Berminyak, Kering, Kombinasi",Peptida biomimetik yang membantu meningkatkan kekencangan kulit.,-,-,-,-,-,-,-,-,,
Calendula Officinalis Flower Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya flavonoid dan triterpenoid yang membantu menenangkan kulit.,-,-,"Berjerawat, PIE, Kemerahan",Membantu mengurangi inflamasi dan mendukung penyembuhan kulit.,-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Asparagopsis Armata Extract,"Normal, Berminyak, Kering, Kombinasi",Ekstrak alga merah yang kaya antioksidan dan mineral.,-,-,Kusam,Membantu melindungi kulit dari stres oksidatif.,-,-,Kusam: Supportive,-,,
Hibiscus Sabdariffa Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung AHA alami dan antioksidan yang membantu memperbaiki tekstur kulit.,-,-,"Kusam, PIH",Membantu eksfoliasi ringan dan meningkatkan kecerahan kulit.,Kemerahan,Pada kulit sensitif dapat meningkatkan risiko iritasi ringan.,Kusam: Supportive; PIH: Supportive,Kemerahan: Low,,
Palmitoyl Hexapeptide-52,"Normal, Berminyak, Kering, Kombinasi",Peptida yang membantu meningkatkan sintesis kolagen.,-,-,Aging,Membantu meningkatkan elastisitas kulit.,-,-,Aging: Supportive,-,,
Lactic Acid/Glycolic Acid Copolymer,"Normal, Berminyak, Kombinasi",Sistem pelepasan AHA yang memberikan eksfoliasi lebih bertahap dibanding AHA bebas.,Kering,Tetap berpotensi meningkatkan kekeringan dan sensitivitas kulit.,"PIH, Kusam, Aging","Membantu eksfoliasi, memperbaiki tekstur, dan merangsang regenerasi kulit.",Kemerahan,Dapat meningkatkan iritasi pada kulit sensitif.,PIH: Supportive; Kusam: Primary; Aging: Primary,Kemerahan: Low,,Polimer AHA yang relatif baru; evidence spesifik terpublikasi masih terbatas.
Phenylpropanol,-,-,-,-,-,-,Kemerahan,Pengawet/fragrance component yang dapat menyebabkan iritasi ringan pada sebagian individu.,-,Kemerahan: Low,,
Oligopeptide-1 (EGF),"Normal, Berminyak, Kering, Kombinasi",Growth factor yang membantu mendukung regenerasi kulit.,-,-,Aging,Membantu mempercepat regenerasi dan memperbaiki elastisitas kulit.,-,-,Aging: Supportive,-,,
Ubiquinone (Coenzyme Q10),"Normal, Berminyak, Kering, Kombinasi",Antioksidan kuat yang membantu melindungi kulit dari kerusakan akibat radikal bebas.,-,-,"Aging, Kusam",Membantu mengurangi stres oksidatif dan mendukung kesehatan kulit.,-,-,Aging: Supportive; Kusam: Supportive,-,,
Glyceryl Caprylate,"Normal, Berminyak, Kering, Kombinasi",Emollient sekaligus skin conditioning agent yang membantu menjaga kelembapan kulit.,-,-,Kemerahan,Membantu memperkuat skin barrier dan menjaga hidrasi kulit.,-,-,Kemerahan: Supportive,-,,
Glyoxal,-,-,"Normal, Berminyak, Kering, Kombinasi",Berpotensi menyebabkan iritasi atau sensitisasi pada kulit sensitif.,-,-,Kemerahan,Dapat memicu iritasi atau dermatitis kontak pada sebagian individu.,-,Kemerahan: Low,,"Agen crosslinking/preservative dengan laporan potensi sensitisasi pada tinjauan bahan kosmetik; risiko generalis, bukan spesifik jenis kulit."
Biosaccharide Gum-1,"Normal, Berminyak, Kering, Kombinasi",Polisakarida yang membentuk lapisan hidrasi pada permukaan kulit serta membantu mengurangi kehilangan air.,-,-,Kemerahan,"Membantu meningkatkan hidrasi, memperkuat skin barrier, dan memberikan efek soothing.",-,-,Kemerahan: Supportive,-,,
Methyl Gluceth-20,"Normal, Berminyak, Kering, Kombinasi",Humectant yang membantu mempertahankan kelembapan kulit dengan toleransi yang sangat baik.,-,-,Kusam,Membantu meningkatkan hidrasi sehingga kulit terasa lebih halus dan lembut.,-,-,Kusam: Supportive,-,,
Tetrahydropiperine,"Normal, Berminyak, Kering, Kombinasi",Bioavailability enhancer yang membantu meningkatkan penetrasi bahan aktif ke dalam kulit.,-,-,"Aging, PIH",Membantu meningkatkan efektivitas bahan aktif seperti retinoid dan vitamin C dalam formulasi.,Kemerahan,Pada sebagian individu dapat meningkatkan risiko iritasi karena meningkatkan penetrasi bahan aktif.,Aging: Supportive; PIH: Supportive,Kemerahan: Low,,
Arachis Hypogaea (Peanut) Oil,"Normal, Kering, Kombinasi",Emollient yang kaya asam lemak sehingga membantu menjaga kelembapan dan memperbaiki skin barrier.,Berminyak,Dapat terasa cukup oklusif pada kulit yang sangat berminyak.,Kusam,Membantu menjaga kelembapan dan elastisitas kulit.,Berjerawat,Pada sebagian individu acne-prone dapat meningkatkan risiko pori tersumbat karena sifatnya yang cukup oklusif.,Kusam: Supportive,Berjerawat: Low,Berminyak: Low,Minyak nabati dengan rating komedogenik rendah-moderat pada tabel klasik; evidence klinis spesifik terbatas.
Biotin,"Normal, Berminyak, Kering, Kombinasi",Vitamin B7 yang berfungsi sebagai skin conditioning agent.,-,-,-,-,-,-,-,-,,
Folic Acid,"Normal, Berminyak, Kering, Kombinasi",Vitamin B9 yang memiliki aktivitas antioksidan dan membantu mendukung regenerasi sel kulit.,-,-,-,-,-,-,-,-,,
Dimethylmethoxy Chromanol,"Normal, Berminyak, Kering, Kombinasi",Antioksidan sintetis yang sangat kuat dalam menangkap berbagai jenis radikal bebas.,-,-,"Aging, Kusam",Membantu melindungi kulit dari kerusakan akibat stres oksidatif dan photoaging.,-,-,Aging: Supportive; Kusam: Supportive,-,,
Glycosphingolipids,"Normal, Berminyak, Kering, Kombinasi",Lipid alami yang berperan dalam pembentukan dan pemeliharaan skin barrier.,-,-,Kemerahan,Membantu memperkuat skin barrier dan menjaga hidrasi kulit.,-,-,Kemerahan: Supportive,-,,
Pseudoalteromonas Ferment Extract,"Normal, Berminyak, Kering, Kombinasi",Ferment laut yang membantu meningkatkan hidrasi dan mendukung regenerasi kulit.,-,-,Kemerahan,"Membantu memperkuat skin barrier, meningkatkan hidrasi, dan memberikan efek soothing.",-,-,Kemerahan: Supportive,-,,
Hydrolyzed Marine Collagen,"Normal, Berminyak, Kering, Kombinasi",Kolagen laut terhidrolisis yang membantu mempertahankan kelembapan dan elastisitas kulit.,-,-,Kusam,Membantu meningkatkan hidrasi dan memperbaiki tekstur kulit.,-,-,Kusam: Supportive,-,,
Anthemis Nobilis Flower Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung senyawa anti-inflamasi dan antioksidan yang membantu menenangkan kulit.,-,-,"Berjerawat, PIE, Kemerahan",Membantu mengurangi inflamasi dan iritasi kulit.,-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Melia Azadirachta Leaf Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya antioksidan dan memiliki aktivitas antimikroba alami.,-,-,"Berjerawat, Kemerahan",Membantu mengurangi pertumbuhan bakteri dan inflamasi pada kulit.,-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,
Melia Azadirachta Flower Extract,"Normal, Berminyak, Kering, Kombinasi",Memiliki aktivitas antioksidan dan anti-inflamasi yang membantu menjaga kesehatan kulit.,-,-,"Berjerawat, Kemerahan",Membantu menenangkan kulit dan mengurangi inflamasi.,-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,
Amino Esters-1,"Normal, Berminyak, Kering, Kombinasi",Skin conditioning agent yang membantu menjaga kelembapan dan kenyamanan kulit.,-,-,-,-,-,-,-,-,,
Coccinia Indica Fruit Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung antioksidan yang membantu melindungi kulit dari radikal bebas.,-,-,Kusam,Membantu menjaga kesehatan kulit dan mengurangi stres oksidatif.,-,-,Kusam: Supportive,-,,
Solanum Melongena (Eggplant) Fruit Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya antioksidan terutama nasunin yang membantu melindungi kulit.,-,-,Kusam,Membantu melindungi kulit dari kerusakan akibat radikal bebas.,-,-,Kusam: Supportive,-,,
Aloe Barbadensis Flower Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung senyawa bioaktif yang membantu melembapkan dan menenangkan kulit.,-,-,"Kemerahan, Berjerawat",Membantu mengurangi inflamasi dan menjaga hidrasi kulit.,-,-,Kemerahan: Supportive; Berjerawat: Supportive,-,,
Curcuma Longa (Turmeric) Root Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung kurkumin yang memiliki aktivitas antioksidan dan anti-inflamasi kuat.,-,-,"Berjerawat, PIH, Kemerahan","Membantu mengurangi inflamasi, menghambat pembentukan melanin, dan mendukung penyembuhan kulit.",-,-,Berjerawat: Supportive; PIH: Supportive; Kemerahan: Supportive,-,,
